instance,pn,pm,ghtw,ghtw_lb,pmcs,time,time_asp,time_bt
2bitadd_10,330,1422,-1,2,0,0.00,0.00,0.00
2bitadd_11,363,1562,-1,2,0,0.00,0.00,0.00
2bitadd_12,396,1702,-1,2,0,0.00,0.00,0.00
2bitcomp_5,95,310,-1,4,85,0.00,0.00,0.00
2bitmax_6,192,766,-1,3,132,0.00,0.00,0.00
adder_15,5,4,2,2,90,1.22,1.20,0.00
adder_25,5,4,2,2,150,2.02,2.00,0.00
adder_50,5,4,2,2,300,4.00,3.96,0.00
adder_75,5,4,2,2,450,6.00,5.96,0.00
adder_99,5,4,2,2,594,7.84,7.78,0.01
aim-100-1_6-no-3,100,160,-1,5,510,0.00,0.00,0.00
aim-100-1_6-yes1-3,100,160,-1,5,612,0.00,0.00,0.00
aim-100-2_0-no-3,100,200,-1,4,11,0.00,0.00,0.00
aim-100-2_0-yes1-3,100,200,-1,5,145,0.00,0.00,0.00
aim-100-3_4-yes1-3,100,340,-1,3,0,0.00,0.00,0.00
aim-100-6_0-yes1-3,100,600,-1,3,0,0.00,0.00,0.00
aim-200-1_6-no-3,200,320,-1,3,57,0.00,0.00,0.00
aim-200-1_6-yes1-3,200,320,-1,3,69,0.00,0.00,0.00
aim-200-2_0-no-3,200,400,-1,3,0,0.00,0.00,0.00
aim-200-2_0-yes1-3,200,400,-1,3,3,0.00,0.00,0.00
aim-200-3_4-yes1-3,200,680,-1,2,0,0.00,0.00,0.00
aim-200-6_0-yes1-3,200,1200,-1,2,0,0.00,0.00,0.00
aim-50-1_6-no-3,50,80,-1,5,930,0.00,0.00,0.00
aim-50-1_6-yes1-3,50,80,-1,5,478,0.00,0.00,0.00
aim-50-2_0-no-3,50,100,-1,6,194,0.00,0.00,0.00
aim-50-2_0-yes1-3,50,100,-1,5,112,0.00,0.00,0.00
aim-50-3_4-yes1-3,50,170,-1,5,3,0.00,0.00,0.00
aim-50-6_0-yes1-3,50,300,-1,4,0,0.00,0.00,0.00
ais10,181,3151,-1,2,0,0.00,0.00,0.00
ais6,61,581,-1,3,0,0.00,0.00,0.00
ais8,113,1520,-1,2,0,0.00,0.00,0.00
atv_partial_system,59,58,3,3,6481,40.65,40.40,0.23
b01,40,39,5,5,3093,91.55,91.38,0.14
b02,25,25,3,3,132,0.38,0.36,0.00
b03,152,152,-1,4,2281,0.00,0.00,0.00
b04,728,716,-1,1,1,0.00,0.00,0.00
b05,937,960,-1,1,0,0.00,0.00,0.00
b06,38,42,4,4,517,10.02,9.99,0.03
b07,429,428,-1,2,396,0.00,0.00,0.00
b08,171,170,-1,4,2390,0.00,0.00,0.00
b09,168,168,-1,4,2798,0.00,0.00,0.00
b10,199,188,-1,3,1012,0.00,0.00,0.00
b11,758,757,-1,1,0,0.00,0.00,0.00
b12,1055,1052,-1,1,26,0.00,0.00,0.00
b13,197,196,-1,3,4175,0.00,0.00,0.00
bridge_15,131,133,2,2,659,16.49,16.43,0.04
bridge_25,221,223,2,2,1129,137.55,137.42,0.10
bridge_50,446,448,2,2,2304,2788.11,2787.80,0.28
bridge_75,671,673,-1,1,4,0.00,0.00,0.00
bridge_99,887,889,-1,1,3,0.00,0.00,0.00
c1355,419,418,-1,2,688,0.00,0.00,0.00
c1908,885,878,-1,1,5,0.00,0.00,0.00
c2670,1100,1077,-1,1,548,0.00,0.00,0.00
c3540,1679,1656,-1,1,14,0.00,0.00,0.00
c432,181,151,-1,4,6605,0.00,0.00,0.00
c499,203,202,-1,3,826,0.00,0.00,0.00
