instance,pn,pm,tw,tw_lb,minseps,pmcs,iters,time,time_sat,time_bt
1c75,69,683,-1,26,0,6515,6541,7200.01,0.00,0.00
1dj7,70,726,-1,24,0,1826,1850,7200.01,0.00,0.00
1dp,73,756,-1,25,0,2568,2593,7200.01,0.00,0.00
1en2,69,463,16,16,0,2162,2179,3363.55,3363.30,0.09
1-FullIns_3,30,100,11,11,0,499,511,15.75,15.71,0.01
1-FullIns_4,93,593,-1,22,0,1292,1314,7200.00,0.00,0.00
1-FullIns_5,282,3247,-1,10,0,10,20,7200.23,0.00,0.00
1-Insertions_4,67,232,-1,15,0,4189,4204,7200.01,0.00,0.00
1-Insertions_5,202,1227,-1,10,0,78,88,7200.02,0.00,0.00
1-Insertions_6,err
2-FullIns_3,52,201,15,15,0,5464,5480,1260.43,1260.10,0.26
2-FullIns_4,212,1621,-1,11,0,58,69,7200.04,0.00,0.00
2-FullIns_5,err
2-Insertions_3,37,72,9,9,0,25550,25560,1491.44,1490.70,0.70
2-Insertions_4,149,541,-1,11,0,298,309,7200.01,0.00,0.00
2-Insertions_5,err
3-FullIns_3,80,346,-1,16,0,4265,4281,7200.00,0.00,0.00
3-FullIns_4,err
3-FullIns_5,err
3-Insertions_3,56,110,-1,9,0,8525,8534,7200.00,0.00,0.00
3-Insertions_4,281,1046,-1,6,0,55,61,7200.21,0.00,0.00
3-Insertions_5,err
4-FullIns_3,114,541,-1,13,0,848,861,7200.00,0.00,0.00
4-FullIns_4,err
4-FullIns_5,err
4-Insertions_3,79,156,-1,8,0,2795,2803,7200.00,0.00,0.00
4-Insertions_4,err
5-FullIns_3,154,792,-1,11,0,343,354,7200.01,0.00,0.00
5-FullIns_4,err
abb313GPIA,err
alarm,0,0,4,-1,0,0,0,0.01,0.00,0.00
anna,28,172,12,12,0,142,155,2.10,2.06,0.00
anna-pp,22,148,12,12,0,60,73,0.30,0.27,0.00
ash331GPIA,err
ash608GPIA,err
ash958GPIA,err
barley2,30,84,7,7,0,666,674,20.93,20.89,0.01
barley,30,84,7,7,0,666,674,19.07,19.03,0.01
barley-pp,26,78,7,7,0,299,307,6.46,6.43,0.01
celar02,41,174,10,10,0,715,726,203.84,203.74,0.06
celar09pp,0,0,7,-1,0,0,0,0.01,0.00,0.00
child,0,0,3,-1,0,0,0,0.01,0.00,0.00
david,36,214,13,13,0,1162,1176,62.04,61.97,0.04
david-pp,29,191,13,13,0,227,241,6.56,6.54,0.01
DSJC1000.1,err
DSJC1000.5,err
DSJC1000.9,err
DSJC125.1,125,736,-1,16,0,197,213,7200.01,0.00,0.00
DSJC125.5,125,3891,-1,51,0,0,51,7200.01,0.00,0.00
DSJC125.9,125,6961,-1,114,0,92,206,7200.01,0.00,0.00
DSJC250.1,250,3218,-1,14,0,1,15,7200.06,0.00,0.00
DSJC250.5,250,15668,-1,50,0,0,50,7200.15,0.00,0.00
DSJC250.9,250,27897,-1,148,0,0,148,7200.03,0.00,0.00
DSJC500.1,err
DSJC500.5,err
DSJC500.9,err
DSJR500.1c,err
DSJR500.1,err
DSJR500.5,err
eil51.tsp,51,140,8,8,0,2646,2655,453.06,452.93,0.07
fpsol2.i.1,269,11654,-1,25,0,6,31,7200.18,0.00,0.00
fpsol2.i.2,err
fpsol2.i.3,err
games120,106,572,-1,13,0,670,693,7200.00,0.00,0.00
grid2_2,0,0,2,-1,0,0,0,0.01,0.00,0.00
grid3_3,0,0,3,-1,0,0,0,0.03,0.00,0.00
grid4_10,36,62,4,4,0,732,737,16.35,16.26,0.01
grid4_4,12,20,4,4,0,208,213,0.14,0.12,0.00
grid4_8,28,48,4,4,0,548,553,4.89,4.86,0.01
grid4_9,32,55,4,4,0,640,645,9.30,9.27,0.01
grid5_5,21,36,5,5,0,1599,1605,5.98,5.94,0.02
grid5_6,26,45,5,5,0,1564,1570,11.68,11.64,0.02
grid5_7,31,54,5,5,0,1900,1906,27.45,27.40,0.03
grid5_8,36,63,5,5,0,2236,2242,56.64,56.57,0.04
grid5_9,41,72,5,5,0,2572,2578,106.15,106.05,0.05
grid6_6,32,56,6,6,0,8528,8535,127.14,126.95,0.16
grid6_7,38,67,6,6,0,7572,7579,287.79,287.57,0.17
grid7_7,45,80,7,7,0,39971,39979,3840.65,3839.55,1.04
