instance,direct_sat_glucose,minsep_sat_glucose,asp,triangulator
2bitadd_10,TO,TO,TO,TO
2bitadd_11,NA,TO,TO,TO
2bitadd_12,NA,TO,TO,TO
2bitcomp_5,TO,TO,TO,TO
2bitmax_6,TO,TO,TO,TO
adder_15,0.04,0.04,1.22,0.02
adder_25,0.05,0.06,2.02,0.03
adder_50,0.08,0.06,4.0,0.04
adder_75,0.1,0.08,6.0,0.07
adder_99,0.13,0.11,7.84,0.09
aim-100-1_6-no-3,TO,TO,TO,TO
aim-100-1_6-yes1-3,TO,TO,TO,TO
aim-100-2_0-no-3,TO,TO,TO,TO
aim-100-2_0-yes1-3,TO,TO,TO,TO
aim-100-3_4-yes1-3,TO,TO,TO,TO
aim-100-6_0-yes1-3,TO,TO,TO,TO
aim-200-1_6-no-3,TO,TO,TO,TO
aim-200-1_6-yes1-3,TO,TO,TO,TO
aim-200-2_0-no-3,TO,TO,TO,TO
aim-200-2_0-yes1-3,TO,TO,TO,TO
aim-200-3_4-yes1-3,TO,TO,TO,TO
aim-200-6_0-yes1-3,TO,TO,TO,TO
aim-50-1_6-no-3,TO,TO,TO,TO
aim-50-1_6-yes1-3,TO,TO,TO,TO
aim-50-2_0-no-3,TO,TO,TO,TO
aim-50-2_0-yes1-3,TO,TO,TO,TO
aim-50-3_4-yes1-3,TO,TO,TO,TO
aim-50-6_0-yes1-3,TO,TO,TO,TO
ais10,TO,TO,TO,TO
ais6,TO,TO,TO,TO
ais8,TO,TO,TO,TO
atv_partial_system,2024.69,53.93,40.65,15.47
b01,295.87,15.75,91.55,11.28
b02,1.85,0.26,0.38,0.18
b03,TO,TO,TO,TO
b04,NA,TO,TO,TO
b05,NA,TO,TO,TO
b06,38.23,3.29,10.02,1.94
b07,NA,TO,TO,TO
b08,TO,TO,TO,TO
b09,TO,TO,TO,TO
b10,TO,TO,TO,TO
b11,NA,TO,TO,TO
b12,NA,TO,TO,TO
b13,TO,TO,TO,TO
bridge_15,3643.67,24.16,16.49,93.56
bridge_25,TO,213.33,137.55,1353.49
bridge_50,NA,5113.73,2788.11,TO
bridge_75,NA,TO,TO,TO
bridge_99,NA,TO,TO,TO
c1355,NA,TO,TO,TO
c1908,NA,TO,TO,TO
c2670,NA,TO,TO,TO
c3540,NA,TO,TO,TO
c432,TO,TO,TO,TO
c499,TO,TO,TO,TO
c5315,NA,TO,TO,TO
c6288,NA,TO,TO,TO
c7552,NA,TO,TO,TO
c880,TO,TO,TO,TO
clique_10,3193.53,108.15,130.85,1.56
clique_15,TO,TO,TO,2468.59
clique_20,TO,TO,TO,TO
clique_25,TO,TO,TO,TO
clique_30,NA,TO,TO,TO
clique_35,NA,TO,TO,TO
clique_40,NA,TO,TO,TO
clique_45,NA,TO,TO,TO
clique_50,NA,TO,TO,TO
clique_60,NA,TO,TO,TO
clique_70,NA,NA,NA,TO
clique_75,NA,NA,NA,TO
clique_80,NA,NA,NA,TO
clique_90,NA,NA,NA,TO
clique_99,NA,NA,NA,TO
dubois100,TO,5783.7,2123.27,4454.35
dubois20,278.67,8.45,4.54,1.59
dubois21,449.32,9.35,11.36,2.03
dubois22,613.5,13.4,15.21,2.39
dubois23,548.79,14.79,7.15,2.87
dubois24,800.83,15.19,9.44,3.75
dubois25,1096.71,18.29,22.22,4.22
dubois26,878.72,22.12,26.89,5.1
dubois27,1746.94,24.9,14.9,5.98
dubois28,1486.7,31.74,14.6,7.55
dubois29,1849.89,31.35,17.81,8.52
dubois30,2050.18,36.56,18.42,10.24
dubois50,TO,218.79,197.39,128.49
flat150-1,NA,TO,TO,TO
flat150-50,NA,TO,TO,TO
flat150-99,NA,TO,TO,TO
flat200-1,NA,TO,TO,TO
