instance,pn,pm,tw,tw_lb,minseps,pmcs,iters,time,time_sat,time_bt
1c75,69,683,29,29,6428,40332,46790,4093.85,4090.83,2.92
1dj7,70,726,26,26,1004,4896,5927,249.99,249.49,0.41
1dp,73,756,26,26,1339,7245,8611,231.90,231.37,0.45
1en2,69,463,16,16,519,2162,2698,62.87,62.70,0.10
1-FullIns_3,30,100,11,11,100,499,611,1.80,1.77,0.01
1-FullIns_4,93,593,-1,28,3960,25983,29971,7200.00,0.00,0.00
1-FullIns_5,282,3247,-1,34,574,1486,2094,7200.00,0.00,0.00
1-Insertions_4,67,232,-1,18,3976,37876,41870,7200.00,0.00,0.00
1-Insertions_5,202,1227,-1,24,1503,7503,9030,7200.00,0.00,0.00
1-Insertions_6,607,6337,-1,20,350,350,720,7200.00,0.00,0.00
2-FullIns_3,52,201,15,15,726,5464,6206,53.39,53.12,0.25
2-FullIns_4,212,1621,-1,27,1893,8338,10258,7200.00,0.00,0.00
2-FullIns_5,852,12201,-1,16,110,150,276,7200.03,0.00,0.00
2-Insertions_3,37,72,9,9,1395,25550,26955,120.10,119.42,0.66
2-Insertions_4,149,541,-1,17,3259,24247,27523,7200.00,0.00,0.00
2-Insertions_5,597,3936,-1,16,334,406,756,7200.01,0.00,0.00
3-FullIns_3,80,346,-1,20,5204,52979,58203,7200.01,0.00,0.00
3-FullIns_4,405,3524,-1,22,628,1520,2170,7200.00,0.00,0.00
3-FullIns_5,2030,33751,-1,6,0,0,6,7200.07,0.00,0.00
3-Insertions_3,56,110,-1,11,5632,116996,122639,7200.00,0.00,0.00
3-Insertions_4,281,1046,-1,15,1585,9142,10742,7200.00,0.00,0.00
3-Insertions_5,1406,9695,-1,6,0,11,17,7200.01,0.00,0.00
4-FullIns_3,114,541,-1,20,4835,45047,49902,7200.00,0.00,0.00
4-FullIns_4,690,6650,-1,16,285,474,775,7200.01,0.00,0.00
4-FullIns_5,err
4-Insertions_3,79,156,-1,10,2509,39663,42182,7200.00,0.00,0.00
4-Insertions_4,475,1795,-1,13,884,3081,3978,7200.00,0.00,0.00
5-FullIns_3,154,792,-1,19,3284,26716,30019,7200.01,0.00,0.00
5-FullIns_4,1085,11395,-1,10,42,122,174,7200.01,0.00,0.00
abb313GPIA,1555,53356,-1,4,0,0,4,7200.13,0.00,0.00
alarm,0,0,4,-1,0,0,0,0.03,0.00,0.00
anna,28,172,12,12,38,142,193,0.23,0.21,0.00
anna-pp,22,148,12,12,17,60,90,0.07,0.05,0.00
ash331GPIA,661,4180,-1,11,119,215,345,7200.00,0.00,0.00
ash608GPIA,1215,7843,-1,6,0,3,9,7200.03,0.00,0.00
ash958GPIA,1915,12505,-1,3,0,0,3,7200.01,0.00,0.00
barley2,30,84,7,7,104,666,778,1.17,1.14,0.01
barley,30,84,7,7,104,666,778,1.46,1.43,0.01
barley-pp,26,78,7,7,65,299,372,0.63,0.61,0.01
celar02,41,174,10,10,136,715,862,4.64,4.55,0.06
celar09pp,0,0,7,-1,0,0,0,0.01,0.00,0.00
child,0,0,3,-1,0,0,0,0.02,0.00,0.00
david,36,214,13,13,190,1162,1366,3.17,3.12,0.04
david-pp,29,191,13,13,62,227,303,0.50,0.48,0.01
DSJC1000.1,1000,49629,-1,33,0,0,33,7200.16,0.00,0.00
DSJC1000.5,1000,249826,-1,149,0,0,149,7200.57,0.00,0.00
DSJC1000.9,1000,449449,-1,694,0,0,694,7200.02,0.00,0.00
DSJC125.1,125,736,-1,26,1317,4760,6103,7200.00,0.00,0.00
DSJC125.5,125,3891,-1,87,400,943,1430,7200.00,0.00,0.00
DSJC125.9,125,6961,119,119,189,925,1234,38.35,38.22,0.04
DSJC250.1,250,3218,-1,37,300,417,754,7200.01,0.00,0.00
DSJC250.5,250,15668,-1,132,189,200,521,7200.00,0.00,0.00
DSJC250.9,250,27897,-1,241,297,554,1092,7200.00,0.00,0.00
DSJC500.1,500,12458,-1,43,55,72,170,7200.00,0.00,0.00
DSJC500.5,500,62624,-1,149,0,0,149,7200.01,0.00,0.00
DSJC500.9,500,112437,-1,442,35,48,525,7200.00,0.00,0.00
DSJR500.1c,500,121275,485,485,211,261,958,179.46,178.90,0.06
DSJR500.1,482,3462,-1,11,226,629,866,7200.01,0.00,0.00
DSJR500.5,500,58862,-1,130,26,37,193,7200.01,0.00,0.00
eil51.tsp,51,140,8,8,325,2646,2980,14.27,14.18,0.07
fpsol2.i.1,269,11654,66,66,159,256,482,446.55,445.36,1.04
fpsol2.i.2,363,8691,31,31,141,266,439,654.07,652.75,1.13
fpsol2.i.3,363,8688,31,31,141,266,439,650.86,649.50,1.18
games120,106,572,-1,20,3771,22693,26494,7200.00,0.00,0.00
grid2_2,0,0,2,-1,0,0,0,0.02,0.00,0.00
grid3_3,0,0,3,-1,0,0,0,0.02,0.00,0.00
grid4_10,36,62,4,4,24,732,761,0.92,0.89,0.01
grid4_4,12,20,4,4,12,208,225,0.04,0.03,0.00
grid4_8,28,48,4,4,20,548,573,0.49,0.47,0.01
grid4_9,32,55,4,4,22,640,667,0.75,0.73,0.01
grid5_5,21,36,5,5,73,1599,1678,0.90,0.86,0.02
grid5_6,26,45,5,5,80,1564,1650,1.52,1.48,0.02
grid5_7,31,54,5,5,87,1900,1993,2.75,2.71,0.03
grid5_8,36,63,5,5,94,2236,2336,4.01,3.96,0.04
grid5_9,41,72,5,5,101,2572,2679,5.03,4.96,0.05
grid6_6,32,56,6,6,284,8528,8819,10.32,10.15,0.15
grid6_7,38,67,6,6,302,7572,7881,14.23,14.04,0.15
grid7_7,45,80,7,7,1069,39971,41048,129.25,128.28,0.95
hailfinder,12,22,4,4,10,43,58,0.03,0.01,0.00
hepar2,0,0,6,-1,0,0,0,0.01,0.00,0.00
homer,130,831,-1,21,3879,37559,41459,7200.01,0.00,0.00
huck,0,0,10,-1,0,0,0,0.03,0.00,0.00
inithx.i.1,519,18707,56,56,258,487,802,4378.95,4369.80,8.84
inithx.i.2,558,13979,31,31,164,341,537,1743.62,1740.63,2.71
inithx.i.3,559,13969,31,31,161,347,540,1767.94,1764.89,2.78
jean,19,83,9,9,11,24,44,0.05,0.03,0.00
latin_square_10,900,307350,-1,221,0,0,221,7200.02,0.00,0.00
le450_15a,448,8166,-1,27,207,405,639,7200.00,0.00,0.00
le450_15b,448,8167,-1,29,220,397,646,7200.01,0.00,0.00
le450_15c,450,16680,-1,50,55,63,168,7200.00,0.00,0.00
le450_15d,450,16750,-1,54,72,82,208,7200.01,0.00,0.00
le450_25a,445,8250,-1,25,322,775,1122,7200.00,0.00,0.00
le450_25b,448,8261,-1,24,354,1024,1402,7200.01,0.00,0.00
le450_25c,450,17343,-1,48,81,106,235,7200.00,0.00,0.00
le450_25d,450,17425,-1,48,81,105,234,7200.00,0.00,0.00
le450_5a,450,5714,-1,27,246,288,561,7200.00,0.00,0.00
le450_5b,450,5734,-1,27,228,270,525,7200.00,0.00,0.00
le450_5c,450,9803,-1,37,40,50,127,7200.01,0.00,0.00
le450_5d,450,9757,-1,39,89,106,234,7200.00,0.00,0.00
mainuk,17,64,7,7,14,65,87,0.06,0.03,0.00
mildew,14,29,4,4,6,69,80,0.05,0.02,0.00
miles1000,124,3104,49,49,870,3274,4194,3530.15,3528.71,1.36
miles1500,128,5198,77,77,167,335,580,177.25,176.69,0.48
miles250,27,127,9,9,41,127,178,0.37,0.35,0.00
miles500,108,1067,22,22,2367,16642,19032,5926.74,5924.41,2.27
miles750,119,1993,36,36,1714,8643,10394,6724.22,6721.75,2.40
mug100_1,0,0,3,-1,0,0,0,0.05,0.00,0.00
mug100_25,0,0,3,-1,0,0,0,0.04,0.00,0.00
mug88_1,0,0,3,-1,0,0,0,0.03,0.00,0.00
mug88_25,0,0,3,-1,0,0,0,0.04,0.00,0.00
mulsol.i.1,138,3925,50,50,137,259,447,28.73,28.24,0.41
mulsol.i.2,173,3885,32,32,140,370,543,92.93,92.69,0.17
mulsol.i.3,174,3916,32,32,141,371,545,85.36,85.13,0.17
mulsol.i.4,175,3946,32,32,141,371,545,92.42,92.20,0.17
mulsol.i.5,176,3973,31,31,116,267,415,77.12,76.93,0.13
mulsol.i.5-pp,119,2556,31,31,51,95,178,4.50,4.41,0.06
myciel2,0,0,2,-1,0,0,0,0.01,0.00,0.00
myciel3,11,20,5,5,10,32,48,0.02,0.01,0.00
myciel4,23,71,10,10,31,182,224,0.23,0.21,0.01
myciel5,47,236,19,19,214,1011,1245,6.98,6.86,0.10
myciel6,95,755,35,35,2639,14914,17589,2035.69,2029.49,6.17
myciel7,191,2360,-1,47,925,3181,4153,7200.01,0.00,0.00
oesoca42,0,0,3,-1,0,0,0,0.02,0.00,0.00
oesoca,0,0,3,-1,0,0,0,0.03,0.00,0.00
oesoca+,25,123,11,11,109,682,803,0.54,0.51,0.01
oesoca+-pp,14,75,11,11,6,18,36,0.02,0.01,0.00
pace16tw_4x12_torusGrid,48,96,8,8,528,96000,96537,153.70,151.55,2.12
pace16tw_6s10.gaifman,err
pace16tw_6s11-opt.gaifman,err
pace16tw_6s12.gaifman,err
pace16tw_8x6_torusGrid,48,96,-1,12,7728,175632,183372,7200.00,0.00,0.00
pace16tw_aes_32_3_keyfind_1.gaifman,632,2128,-1,8,766,3062,3836,7200.01,0.00,0.00
pace16tw_aes_64_1_keyfind_1.gaifman,464,1824,-1,10,1540,6764,8314,7200.01,0.00,0.00
pace16tw_AhrensSzekeresGeneralizedQuadrangleGraph_3,27,135,17,17,27,297,342,1.25,1.19,0.01
pace16tw_AProVE07-01.gaifman,err
pace16tw_AProVE07-03.gaifman,3019,17327,-1,2,0,0,2,7200.05,0.00,0.00
pace16tw_BalancedTree_3_5,0,0,1,-1,0,0,0,0.02,0.00,0.00
pace16tw_BiggsSmithGraph,102,153,-1,9,3111,43656,46776,7200.00,0.00,0.00
pace16tw_BlanusaSecondSnarkGraph,18,27,4,4,18,140,163,0.14,0.12,0.00
pace16tw_BrinkmannGraph,21,42,8,8,64,497,570,1.62,1.60,0.01
pace16tw_BrouwerHaemersGraph,81,810,-1,41,891,1701,2633,7200.00,0.00,0.00
pace16tw_BubbleSortGraph_5,120,240,-1,11,3810,41280,45101,7200.00,0.00,0.00
pace16tw_CameronGraph,231,3465,-1,42,231,231,504,7200.00,0.00,0.00
pace16tw_Cell120,600,1200,-1,7,600,3000,3607,7200.00,0.00,0.00
pace16tw_ChvatalGraph,12,24,6,6,12,88,107,0.05,0.02,0.00
pace16tw_ClebschGraph,16,40,8,8,16,96,121,0.09,0.08,0.00
