instance,direct_sat_glucose,minsep_sat_glucose,asp,triangulator
1c75,TO,4093.85,4348.16,TO
1dj7,TO,249.99,1447.3,TO
1dp,TO,231.9,1532.11,TO
1en2,3363.55,62.87,441.77,TO
1-FullIns_3,15.75,1.8,9.3,3.29
1-FullIns_4,TO,TO,TO,TO
1-FullIns_5,TO,TO,TO,TO
1-Insertions_4,TO,TO,TO,TO
1-Insertions_5,TO,TO,TO,TO
1-Insertions_6,NA,TO,TO,TO
2-FullIns_3,1260.43,53.39,503.2,TO
2-FullIns_4,TO,TO,TO,TO
2-FullIns_5,NA,TO,TO,TO
2-Insertions_3,1491.44,120.1,432.3,TO
2-Insertions_4,TO,TO,TO,TO
2-Insertions_5,NA,TO,TO,TO
3-FullIns_3,TO,TO,TO,TO
3-FullIns_4,NA,TO,TO,TO
3-FullIns_5,NA,TO,TO,TO
3-Insertions_3,TO,TO,TO,TO
3-Insertions_4,TO,TO,TO,TO
3-Insertions_5,NA,TO,TO,TO
4-FullIns_3,TO,TO,TO,TO
4-FullIns_4,NA,TO,TO,TO
4-FullIns_5,NA,NA,NA,TO
4-Insertions_3,TO,TO,TO,TO
4-Insertions_4,NA,TO,TO,TO
5-FullIns_3,TO,TO,TO,TO
5-FullIns_4,NA,TO,TO,TO
abb313GPIA,NA,TO,TO,TO
alarm,0.01,0.03,0.02,0.01
anna,2.1,0.23,1.09,0.13
anna-pp,0.3,0.07,0.55,0.03
ash331GPIA,NA,TO,TO,TO
ash608GPIA,NA,TO,TO,TO
ash958GPIA,NA,TO,TO,TO
barley2,20.93,1.17,3.0,0.75
barley,19.07,1.46,3.27,0.68
barley-pp,6.46,0.63,1.14,0.14
celar02,203.84,4.64,18.85,0.21
celar09pp,0.01,0.01,0.02,0.02
child,0.01,0.02,0.02,0.01
david,62.04,3.17,7.52,0.75
david-pp,6.56,0.5,1.58,0.14
DSJC1000.1,NA,TO,TO,TO
DSJC1000.5,NA,TO,TO,TO
DSJC1000.9,NA,TO,TO,TO
DSJC125.1,TO,TO,TO,TO
DSJC125.5,TO,TO,TO,TO
DSJC125.9,TO,38.35,148.04,13.16
DSJC250.1,TO,TO,TO,TO
DSJC250.5,TO,TO,TO,TO
DSJC250.9,TO,TO,TO,3071.64
DSJC500.1,NA,TO,TO,TO
DSJC500.5,NA,TO,TO,TO
DSJC500.9,NA,TO,TO,TO
DSJR500.1c,NA,179.46,TO,655.82
DSJR500.1,NA,TO,TO,TO
DSJR500.5,NA,TO,TO,TO
eil51.tsp,453.06,14.27,67.33,TO
fpsol2.i.1,TO,446.55,2590.6,16.49
fpsol2.i.2,NA,654.07,1918.68,62.59
fpsol2.i.3,NA,650.86,2849.81,59.1
games120,TO,TO,TO,TO
grid2_2,0.01,0.02,0.02,0.01
grid3_3,0.03,0.02,0.02,0.01
grid4_10,16.35,0.92,1.77,22.46
grid4_4,0.14,0.04,0.19,0.02
grid4_8,4.89,0.49,0.86,1.41
grid4_9,9.3,0.75,1.14,5.73
grid5_5,5.98,0.9,1.1,0.21
grid5_6,11.68,1.52,2.2,0.94
grid5_7,27.45,2.75,5.09,6.07
grid5_8,56.64,4.01,8.19,35.45
grid5_9,106.15,5.03,11.17,236.6
grid6_6,127.14,10.32,23.51,8.81
grid6_7,287.79,14.23,31.4,86.26
grid7_7,3840.65,129.25,242.36,1558.54
hailfinder,0.06,0.03,0.21,0.02
hepar2,0.02,0.01,0.02,0.01
homer,TO,TO,TO,TO
